Ep: 1390 | Steps: 208692 | AvgSPE: 150.1 |Epsilon: 0.1241 | Skor: 1.1 / -1.0
Ep: 1400 | Steps: 213593 | AvgSPE: 152.6 |Epsilon: 0.1223 | Skor: -0.9 / 1.1
Ep: 1410 | Steps: 217674 | AvgSPE: 154.4 |Epsilon: 0.1204 | Skor: 1.1 / -1.0
Ep: 1420 | Steps: 226560 | AvgSPE: 159.5 |Epsilon: 0.1186 | Skor: -1.0 / 1.1
Ep: 1430 | Steps: 231270 | AvgSPE: 161.7 |Epsilon: 0.1169 | Skor: -0.8 / 1.3
Ep: 1440 | Steps: 236713 | AvgSPE: 164.4 |Epsilon: 0.1151 | Skor: -0.6 / 1.5
Ep: 1450 | Steps: 240594 | AvgSPE: 165.9 |Epsilon: 0.1134 | Skor: -0.4 / 1.7
Ep: 1460 | Steps: 246318 | AvgSPE: 168.7 |Epsilon: 0.1117 | Skor: 1.4 / -0.7
Ep: 1470 | Steps: 252066 | AvgSPE: 171.5 |Epsilon: 0.1101 | Skor: 1.0 / -1.0
Ep: 1480 | Steps: 256994 | AvgSPE: 173.6 |Epsilon: 0.1084 | Skor: 1.4 / -0.6
Ep: 1490 | Steps: 265469 | AvgSPE: 178.2 |Epsilon: 0.1068 | Skor: 1.1 / -0.9
Ep: 1500 | Steps: 269781 | AvgSPE: 179.9 |Epsilon: 0.1052 | Skor: -0.9 / 1.2
Ep: 1510 | Steps: 274336 | AvgSPE: 181.7 |Epsilon: 0.1037 | Skor: -1.0 / 1.1
Ep: 1520 | Steps: 278616 | AvgSPE: 183.3 |Epsilon: 0.1021 | Skor: -0.6 / 1.5
Ep: 1530 | Steps: 287277 | AvgSPE: 187.8 |Epsilon: 0.1006 | Skor: -0.7 / 1.4
Ep: 1540 | Steps: 292663 | AvgSPE: 190.0 |Epsilon: 0.0991 | Skor: -0.9 / 1.1
Ep: 1550 | Steps: 296480 | AvgSPE: 191.3 |Epsilon: 0.0976 | Skor: -0.9 / 1.1
Ep: 1560 | Steps: 302987 | AvgSPE: 194.2 |Epsilon: 0.0962 | Skor: -1.0 / 1.0
Ep: 1570 | Steps: 311181 | AvgSPE: 198.2 |Epsilon: 0.0947 | Skor: 1.1 / -0.9
Ep: 1580 | Steps: 318306 | AvgSPE: 201.5 |Epsilon: 0.0933 | Skor: 1.3 / -0.7
Ep: 1590 | Steps: 324484 | AvgSPE: 204.1 |Epsilon: 0.0919 | Skor: 1.3 / -0.7
Ep: 1600 | Steps: 334235 | AvgSPE: 208.9 |Epsilon: 0.0906 | Skor: 1.1 / -1.0
Ep: 1610 | Steps: 342764 | AvgSPE: 212.9 |Epsilon: 0.0892 | Skor: 1.5 / -0.6
Ep: 1620 | Steps: 350703 | AvgSPE: 216.5 |Epsilon: 0.0879 | Skor: -0.4 / 1.6
Ep: 1630 | Steps: 360300 | AvgSPE: 221.0 |Epsilon: 0.0866 | Skor: 1.3 / -0.8
Ep: 1640 | Steps: 370860 | AvgSPE: 226.1 |Epsilon: 0.0853 | Skor: 2.6 / 0.5
Ep: 1650 | Steps: 380185 | AvgSPE: 230.4 |Epsilon: 0.0840 | Skor: 1.6 / -0.4
Ep: 1660 | Steps: 396239 | AvgSPE: 238.7 |Epsilon: 0.0828 | Skor: -0.1 / 2.0
Ep: 1670 | Steps: 409906 | AvgSPE: 245.5 |Epsilon: 0.0815 | Skor: -0.2 / 1.9
Ep: 1680 | Steps: 422116 | AvgSPE: 251.3 |Epsilon: 0.0803 | Skor: 1.5 / -0.6
Ep: 1690 | Steps: 434459 | AvgSPE: 257.1 |Epsilon: 0.0791 | Skor: -1.0 / 1.0
Ep: 1700 | Steps: 444705 | AvgSPE: 261.6 |Epsilon: 0.0779 | Skor: 1.4 / -0.7
Ep: 1710 | Steps: 457507 | AvgSPE: 267.5 |Epsilon: 0.0768 | Skor: 1.3 / -0.8
Ep: 1720 | Steps: 464589 | AvgSPE: 270.1 |Epsilon: 0.0756 | Skor: 1.3 / -0.8
Ep: 1730 | Steps: 470787 | AvgSPE: 272.1 |Epsilon: 0.0745 | Skor: 1.3 / -0.8
Ep: 1740 | Steps: 483893 | AvgSPE: 278.1 |Epsilon: 0.0734 | Skor: 1.2 / -0.9
Ep: 1750 | Steps: 492781 | AvgSPE: 281.6 |Epsilon: 0.0723 | Skor: -1.0 / 1.0
Ep: 1760 | Steps: 500293 | AvgSPE: 284.3 |Epsilon: 0.0712 | Skor: 1.3 / -0.8
Ep: 1770 | Steps: 507449 | AvgSPE: 286.7 |Epsilon: 0.0702 | Skor: 1.3 / -0.7
Ep: 1780 | Steps: 519659 | AvgSPE: 291.9 |Epsilon: 0.0691 | Skor: 2.2 / 0.1
Ep: 1790 | Steps: 532287 | AvgSPE: 297.4 |Epsilon: 0.0681 | Skor: 1.8 / -0.2
Ep: 1800 | Steps: 545030 | AvgSPE: 302.8 |Epsilon: 0.0671 | Skor: 1.2 / -0.8
Ep: 1810 | Steps: 564981 | AvgSPE: 312.1 |Epsilon: 0.0661 | Skor: 1.9 / -0.1
Ep: 1820 | Steps: 577664 | AvgSPE: 317.4 |Epsilon: 0.0651 | Skor: -0.3 / 1.8
Ep: 1830 | Steps: 583832 | AvgSPE: 319.0 |Epsilon: 0.0641 | Skor: -0.2 / 1.8
Ep: 1840 | Steps: 590949 | AvgSPE: 321.2 |Epsilon: 0.0632 | Skor: 1.5 / -0.6
Ep: 1850 | Steps: 597686 | AvgSPE: 323.1 |Epsilon: 0.0622 | Skor: 1.3 / -0.8
Ep: 1860 | Steps: 603050 | AvgSPE: 324.2 |Epsilon: 0.0613 | Skor: -0.8 / 1.2
Ep: 1870 | Steps: 611000 | AvgSPE: 326.7 |Epsilon: 0.0604 | Skor: -0.8 / 1.3
